Summary,Issue Type,Project,Priority,Labels,Original estimate,Description,Parent
Epic 1: Debug Infrastructure,Epic,KAN,High,wordpress-as-engine,v2,,Build debug-first infrastructure to track data flow through all stages of WordPress rendering,,
Epic 2: WordPress Core Setup,Epic,KAN,High,wordpress-as-engine,v2,,Copy WordPress 4.9 core and create bootstrap entry point,,
Epic 3: Database Interception,Epic,KAN,High,wordpress-as-engine,v2,,Prevent WordPress from accessing database directly via wpdb bridge,,
Epic 4: WordPress Globals,Epic,KAN,High,wordpress-as-engine,v2,,Initialize WordPress global variables from Backdrop data,,
Epic 5: External I/O Interception,Epic,KAN,Medium,wordpress-as-engine,v2,,Intercept WordPress external I/O functions (HTTP, files, cron),,
Epic 6: Bootstrap Integration,Epic,KAN,High,wordpress-as-engine,v2,,Integrate WordPress bootstrap into Backdrop module system,,
Epic 7: Data Structure Bridges,Epic,KAN,High,wordpress-as-engine,v2,,Create bridges for user, taxonomy, and options data structures,,
Epic 8: Testing & Validation,Epic,KAN,Medium,wordpress-as-engine,v2,,Test WordPress theme rendering and validate all components,,
WP4BD-V2-001: Create Debug Helper Functions,Story,KAN,High,"debug-infrastructure,epic-1,v2",1h,"Create simple debugging functions (no classes) to track data flow through the system.

**Acceptance Criteria:**
- File created: modules/wp_content/wp4bd_debug.inc
- Function: wp4bd_debug_init() - Initialize tracking
- Function: wp4bd_debug_stage_start($name) - Mark stage start
- Function: wp4bd_debug_stage_end($name) - Mark stage end
- Function: wp4bd_debug_log($stage, $key, $value) - Log data
- Function: wp4bd_debug_render() - Output HTML debug report
- Debug level controlled by ?wp4bd_debug=N URL parameter (1-4)

**Expected State After:**
Helper functions available to include in templates. Can track timing and data at each stage. No visual output yet (just infrastructure).

**Files Modified:**
- modules/wp_content/wp4bd_debug.inc (new)

**Test:**
Functions can be included and called without errors",Epic 1: Debug Infrastructure
WP4BD-V2-002: Create Debug Template,Story,KAN,High,"debug-infrastructure,epic-1,v2",30m,"Create a page template that shows debug output instead of rendered content.

**Acceptance Criteria:**
- File created: themes/wp/templates/page-debug.tpl.php
- Includes wp4bd_debug.inc
- Shows placeholder stages (no real data yet)
- Renders debug output with timing
- Help text explains debug levels

**Expected State After:**
Can visit site and see debug output. Shows ""Stage 1: TODO"" placeholders. Confirms debug infrastructure works.

**Files Modified:**
- themes/wp/templates/page-debug.tpl.php (new)

**Dependencies:**
WP4BD-V2-001

**Test:**
Visit http://yoursite.com/?wp4bd_debug=2 and see debug output",Epic 1: Debug Infrastructure
WP4BD-V2-010: Copy WordPress to wp49brain/,Story,KAN,High,"wordpress-core-setup,epic-2,v2",1h,"Copy WordPress 4.9 core files to backdrop-1.30/wp49brain/ directory.

**Acceptance Criteria:**
- Source: wordpress-4.9/ directory (already exists)
- Destination: backdrop-1.30/wp49brain/
- Copy entire WordPress directory structure
- Keep WordPress core pristine (no modifications)
- Verify all files copied successfully

**Expected State After:**
WordPress 4.9 core files available at backdrop-1.30/wp49brain/. Can reference wp-includes/, wp-content/, etc.

**Files Modified:**
- backdrop-1.30/wp49brain/ (new directory, copied files)

**Dependencies:**
None

**Test:**
Verify wp49brain/wp-includes/class-wp-post.php exists",Epic 2: WordPress Core Setup
WP4BD-V2-011: Create WordPress Bootstrap Entry Point,Story,KAN,High,"wordpress-core-setup,epic-2,v2",2h,"Create bootstrap file to initialize WordPress with Backdrop-specific configuration.

**Acceptance Criteria:**
- File created: modules/wp_content/includes/wp-bootstrap.php
- Function: wp4bd_bootstrap_wordpress()
- Set WordPress constants (ABSPATH, WPINC, WP_CONTENT_DIR)
- Redirect WordPress paths to wp49brain
- Prevent WordPress from connecting to its own database
- Load WordPress after Backdrop bootstrap phase FULL
- Handle errors gracefully

**Expected State After:**
Can call wp4bd_bootstrap_wordpress() to initialize WordPress. Constants set correctly. No database connection attempted.

**Files Modified:**
- modules/wp_content/includes/wp-bootstrap.php (new)

**Dependencies:**
WP4BD-V2-010

**Test:**
Call wp4bd_bootstrap_wordpress() - verify ABSPATH constant is set correctly",Epic 2: WordPress Core Setup
WP4BD-V2-012: Create wp-config Bridge,Story,KAN,Medium,"wordpress-core-setup,epic-2,v2",1h,"Create WordPress configuration file that prevents database connection.

**Acceptance Criteria:**
- File created: wp49brain/wp-config-bd.php
- Set fake DB credentials (WordPress will try to connect but we'll intercept)
- Define required WordPress constants
- Document that db.php drop-in will handle actual interception
- Handle missing constants gracefully

**Expected State After:**
WordPress can load wp-config-bd.php. Database credentials set but connection will be intercepted by db.php.

**Files Modified:**
- wp49brain/wp-config-bd.php (new)

**Dependencies:**
WP4BD-V2-010

**Test:**
WordPress can include wp-config-bd.php without errors",Epic 2: WordPress Core Setup
WP4BD-V2-020: Replace wpdb Class via Drop-in,Story,KAN,High,"database-isolation,epic-3,v2",2h,"Create db.php drop-in to replace WordPress wpdb class and prevent database access.

**Acceptance Criteria:**
- File created: wp49brain/wp-content/db.php
- Extend wpdb class and override key methods:
  - query() - Main query execution (return false or log)
  - get_results() - SELECT queries (return empty array)
  - get_var() - Single value queries (return null)
  - get_row() - Single row queries (return null)
  - prepare() - Query preparation (return empty string)
  - insert() - INSERT queries (disabled, return false)
  - update() - UPDATE queries (disabled, return false)
  - delete() - DELETE queries (disabled, return false)
- Set required properties ($prefix, table names)
- Log query attempts in debug mode

**Expected State After:**
WordPress can't query database. No SQL errors. WordPress uses pre-populated data only.

**Files Modified:**
- wp49brain/wp-content/db.php (new)

**Dependencies:**
WP4BD-V2-011

**Test:**
WordPress theme runs without database connection. No SQL errors in logs.",Epic 3: Database Interception
WP4BD-V2-021: SQL Query Analysis and Mapping,Story,KAN,High,"database-isolation,epic-3,v2",3h,"Create wpdb bridge class to analyze WordPress SQL patterns and map to Backdrop.

**Acceptance Criteria:**
- File created: modules/wp_content/includes/wpdb-bridge.php
- Class: WP4BD_wpdb_Bridge extends wpdb
- Method: _parse_wp_query($sql) - Analyze WordPress SQL
- Method: _convert_to_backdrop_query($parsed) - Map to Backdrop query builder
- Method: _execute_backdrop_query($query) - Execute via Backdrop DB API
- Handle common patterns:
  - SELECT * FROM wp_posts WHERE ... → Backdrop node queries
  - SELECT * FROM wp_users WHERE ... → Backdrop user queries
  - SELECT * FROM wp_terms WHERE ... → Backdrop taxonomy queries
  - SELECT * FROM wp_options WHERE ... → Backdrop config/variables
  - SELECT * FROM wp_postmeta WHERE ... → Backdrop field API

**Expected State After:**
Can analyze WordPress SQL queries and map them to Backdrop equivalents. Bridge class ready for integration.

**Files Modified:**
- modules/wp_content/includes/wpdb-bridge.php (new)

**Dependencies:**
WP4BD-V2-020

**Test:**
Parse sample WordPress SQL queries and verify Backdrop query equivalents",Epic 3: Database Interception
WP4BD-V2-022: Query Result Transformation,Story,KAN,High,"database-isolation,epic-3,v2",2h,"Transform Backdrop query results to WordPress object format.

**Acceptance Criteria:**
- File: modules/wp_content/includes/wpdb-bridge.php (update)
- Method: _backdrop_node_to_wp_post($node) - Convert nodes to WP_Post (reuse existing)
- Method: _backdrop_user_to_wp_user($account) - Convert user objects
- Method: _backdrop_term_to_wp_term($term) - Convert taxonomy terms
- Method: _backdrop_config_to_wp_option($config) - Convert settings
- Handle missing data gracefully
- Preserve WordPress object structure

**Expected State After:**
Backdrop data can be transformed to WordPress object format. All conversion methods work correctly.

**Files Modified:**
- modules/wp_content/includes/wpdb-bridge.php (update)

**Dependencies:**
WP4BD-V2-021

**Test:**
Convert sample Backdrop nodes/users/terms to WordPress objects and verify structure",Epic 3: Database Interception
WP4BD-V2-030: Identify Critical WordPress Globals,Story,KAN,Medium,"wordpress-globals,epic-4,v2",1h,"Document all critical WordPress global variables that need initialization.

**Acceptance Criteria:**
- Document key globals from wp-settings.php:
  - $wpdb - Database object (replaced by bridge)
  - $wp_query - Main query object
  - $wp_the_query - Original query object
  - $wp_rewrite - Rewrite rules object
  - $wp - Main WordPress object
  - $post - Current post object
  - $posts - Array of post objects
  - $wp_post_types - Registered post types
  - $wp_taxonomies - Registered taxonomies
  - $wp_theme - Current theme object
  - $wp_filter - Action/filter hooks
  - $wp_actions - Action callbacks
  - $wp_current_filter - Current filter stack
- Create reference document or inline comments

**Expected State After:**
Clear list of WordPress globals that need initialization. Documentation available for implementation.

**Files Modified:**
- Documentation (or inline comments in wp-globals-init.php)

**Dependencies:**
WP4BD-V2-022

**Test:**
Verify all critical globals are documented",Epic 4: WordPress Globals
