Summary,Issue Type,Project,Priority,Labels,Original estimate,Description,Parent
Epic 1: Debug Infrastructure,Epic,KAN,High,wordpress-as-engine,,Build debug-first infrastructure to track data flow through all stages of WordPress rendering,,
Epic 2: Data Loading,Epic,KAN,High,wordpress-as-engine,,Load and transform Backdrop nodes into WordPress data structures,,
Epic 3: WordPress Integration,Epic,KAN,High,wordpress-as-engine,,Load real WordPress 4.9 core files and test The Loop,,
Epic 4: Database Isolation,Epic,KAN,High,wordpress-as-engine,,Prevent WordPress from accessing the database directly,,
Epic 5: Theme Rendering,Epic,KAN,Medium,wordpress-as-engine,,Load WordPress themes and execute template files,,
Epic 6: Output Integration,Epic,KAN,Medium,wordpress-as-engine,,Inject Backdrop assets and display rendered output,,
Epic 7: Function Overrides,Epic,KAN,High,wordpress-as-engine,,Override WordPress functions to fetch data from Backdrop on-demand,,
Epic 8: Production Ready,Epic,KAN,Medium,wordpress-as-engine,,Polish implementation for production use,,
WP4BD-001: Create Debug Helper Functions,Story,KAN,High,"debug-infrastructure,epic-1",1h,"Create simple debugging functions (no classes) to track data flow through the system.

**Acceptance Criteria:**
- File created: modules/wp_content/wp4bd_debug.inc
- Function: wp4bd_debug_init() - Initialize tracking
- Function: wp4bd_debug_stage_start($name) - Mark stage start
- Function: wp4bd_debug_stage_end($name) - Mark stage end
- Function: wp4bd_debug_log($stage, $key, $value) - Log data
- Function: wp4bd_debug_render() - Output HTML debug report
- Debug level controlled by ?wp4bd_debug=N URL parameter

**Expected State After:**
Helper functions available to include in templates. Can track timing and data at each stage. No visual output yet (just infrastructure).

**Files Modified:**
- modules/wp_content/wp4bd_debug.inc (new)

**Test:**
Functions can be included and called without errors",Epic 1: Debug Infrastructure
WP4BD-002: Create Debug Template,Story,KAN,High,"debug-infrastructure,epic-1",30m,"Create a page template that shows debug output instead of rendered content.

**Acceptance Criteria:**
- File created: themes/wp/templates/page-debug.tpl.php
- Includes wp4bd_debug.inc
- Shows placeholder stages (no real data yet)
- Renders debug output with timing
- Help text explains debug levels

**Expected State After:**
Can visit site and see debug output. Shows ""Stage 1: TODO"" placeholders. Confirms debug infrastructure works.

**Files Modified:**
- themes/wp/templates/page-debug.tpl.php (new)

**Dependencies:**
WP4BD-001

**Test:**
Visit http://yoursite.com/?wp4bd_debug=2 and see debug output",Epic 1: Debug Infrastructure
WP4BD-003: Implement Stage 1 - Backdrop Query,Story,KAN,High,"data-loading,epic-2",1h,"Query Backdrop database for nodes and log what we loaded.

**Acceptance Criteria:**
- Query promoted nodes using db_select()
- Load nodes with node_load_multiple()
- Log query details to debug output
- Log node count and IDs
- Show timing for this stage

**Expected State After:**
Debug shows: ""Loaded 10 nodes"". Can see node IDs: [123, 124, 125...]. Can see timing (should be ~0.05s).

**Files Modified:**
- themes/wp/templates/page-debug.tpl.php (update Stage 1)

**Dependencies:**
WP4BD-002

**Test:**
Debug output shows actual nodes from your Backdrop database",Epic 2: Data Loading
